run_id,direction,model,seed,condition,source_cube,calibration,n,n_correct,accuracy,nll,brier,ece_10
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,full,0-2,raw,80,56,0.7,1.3650774216460733,0.6241664870346952,0.3784178570147051
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,full,0-2,temperature_scaled,80,57,0.7125,1.3112845593731628,0.5903810067698053,0.36586702571557095
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,full,1-2,raw,80,17,0.2125,1.989654918203783,0.8840472615152508,0.1518950952145665
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,full,1-2,temperature_scaled,80,16,0.2,1.9621991116852697,0.8724637291126008,0.11036627048102467
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,full,2-2,raw,80,18,0.225,1.8656675189100285,0.8382780337560446,0.12247835404541646
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,full,2-2,temperature_scaled,80,25,0.3125,1.8338804561267352,0.8236130115651769,0.10830155522306532
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,full,3-2,raw,80,59,0.7375,1.2339507813146962,0.5798825806559593,0.38410215809526627
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,full,3-2,temperature_scaled,80,53,0.6625,1.2243171632401197,0.56827298918201,0.3154770302450697
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,full,4-2,raw,80,8,0.1,1.948325569082892,0.8674215653888112,0.18179781138823997
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,full,4-2,temperature_scaled,80,15,0.1875,1.9151557951921006,0.8569879171656696,0.16007768061779057
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,full,5-2,raw,80,9,0.1125,2.1159018667537093,0.9089098158951459,0.21254496875482648
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,full,5-2,temperature_scaled,80,13,0.1625,2.0912755852334657,0.8978517373147481,0.14161873336543895
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,full,6-2,raw,80,35,0.4375,1.7373016573601965,0.7673042826801877,0.15045535868693735
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,full,6-2,temperature_scaled,80,35,0.4375,1.7348206258613998,0.7640297848978171,0.14995541684921504
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,full,7-2,raw,54,45,0.8333333333333334,0.9554331318296806,0.41549260476974514,0.35493778166610745
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,full,7-2,temperature_scaled,54,45,0.8333333333333334,0.9620416387607512,0.4182942133160793,0.3535745434619282
